abbr,country,population,case_7day_perc_change,death_7day_perc_change,test_7day_perc_change,case_7day_change,death_7day_change,test_7day_change,current_r,cur_infected_perc,total_infected_perc,Confirmed,Deaths,daily_tests_7day_ma,pos_rate_7day_ma,net_hosp_7day_ma,daily_confirmed_7day_ma,daily_deaths_7day_ma,c19pro_score_cases,c19pro_score_deaths
ECU,Ecuador,17373662,-0.017898574743122283,-0.34285714285714286,,-23.14285714285711,-13.714285714285715,,0.9607799306176594,0.012318013323846176,0.18856508201897793,131146,11213,,,,1269.857142857143,26.285714285714285,0.051089443049523044,4.564441418856542
EGY,Egypt,100388073,-0.19557195571955724,-0.040000000000000056,,-30.285714285714292,-0.7142857142857153,,1.0330627138746091,0.0007532866977135819,0.013729539364701223,102513,5835,,,,124.57142857142857,17.142857142857142,0.023728555109610725,0.009965427450910969
EST,Estonia,1324820,0.6741573033707865,0.0,,17.142857142857142,0.0,,0.8278800202726879,0.0006687700970697906,0.015016379583641552,3076,64,,,,42.57142857142857,0.0,-0.47519535122535095,-0.0
FIN,Finland,5517919,0.7575757575757576,1.0,,35.714285714285715,0.2857142857142857,,0.9559183547992042,0.0006074753906318668,0.01522113680900354,9379,343,,,,82.85714285714286,0.5714285714285714,-0.4446078251483393,-0.0733919168355101
FRA,France,67012883,0.32246102252390263,0.48239436619718323,,2857.1428571428587,19.571428571428577,,1.0442913630550599,0.00972356315426692,0.09266342115142248,536289,31524,,,,11717.57142857143,60.142857142857146,-43.619290757311525,-6.231002381717791
DEU,Germany,83019213,0.12836040003670063,0.9354838709677418,,199.8571428571429,4.142857142857142,,1.0011801214301632,0.0007014039027327325,0.02525472025373211,281346,9436,,,,1756.857142857143,8.571428571428571,-0.44174004641295495,-0.8523524540445465
GRC,Greece,10724599,0.14322381930184816,0.4642857142857142,,39.85714285714289,1.8571428571428568,,1.0922952162049628,0.005440669623171925,0.021958117035424822,16627,366,,,,318.14285714285717,5.857142857142857,-0.17566333027366532,-0.5170763830369132
HND,Honduras,9746117,-0.2883279295970357,0.7397260273972602,,-177.8571428571429,7.7142857142857135,,0.9607914732256984,0.005103776201332284,0.056784666139345547,73193,2249,,,,439.0,18.142857142857142,1.5968829886563527,-5.99107632294167
HUN,Hungary,9772756,0.21108656356698127,0.39393939393939387,,150.1428571428571,1.8571428571428568,,1.0974609871090066,0.006696064037616411,0.03005487909449494,21200,709,,,,861.4285714285714,6.571428571428571,-1.5118346906724844,-0.510704123106157
ISL,Iceland,339031,5.244897959183674,0.0,,36.714285714285715,0.0,,0.9645795018144022,0.0007167486159082798,0.012072642324743164,2512,10,,,,43.714285714285715,0.0,-11.690460731855062,-0.0
IND,India,1366417754,-0.2060855820428263,-0.1634366127638563,,-19203.142857142855,-189.1428571428571,,0.9979008896967365,0.009251671359650673,0.05116591744752754,5732518,91149,,,,73977.28571428571,968.1428571428571,100.0,17.66228744016306
