date,Province_State,Confirmed,Deaths,daily_deaths,daily_confirmed,daily_tests,net_hosp,daily_tests_7day_ma,pos_rate_7day_ma,net_hosp_7day_ma,daily_confirmed_7day_ma,daily_deaths_7day_ma,prevalence_ratio_7day_ma,cur_implied_cfr_as_of_2020-08-10,total_implied_cfr_as_of_2020-08-10,cur_implied_ifr_as_of_2020-07-27,total_implied_ifr_as_of_2020-07-27,total_infections_as_of_2020-08-10,perc_infected_as_of_2020-08-10,population
2020-08-24,Arkansas,56894,696,9.0,320.0,8004.0,-34.0,7320.285714285716,0.07448967643729754,-2.8571428571428568,545.2857142857143,13.285714285714285,6.866847509124651,0.01712391824709998,0.013912209162868793,0.0020733573829035067,0.001964923347847767,407486,0.13502605841858498,3017825
2020-08-24,Colorado,55321,1919,1.0,198.0,8444.0,-33.0,9363.57142857143,0.030009916851018382,-2.142857142857143,281.42857142857144,3.2857142857142856,5.271739293992257,0.00749185667752443,0.03761270090160721,0.001377118502791073,0.005293881592500347,387864,0.0673521339854648,5758736
2020-08-24,Oklahoma,53522,730,4.0,357.0,357.0,0.0,8218.142857142857,0.08363029533957969,10.285714285714286,687.2857142857142,9.285714285714286,7.127024487392777,0.01212460361872785,0.016604872278961853,0.0016310611640512024,0.002503527419050028,358813,0.09067850615318727,3956971
2020-08-24,Connecticut,52011,4460,0.0,492.0,55346.0,3.0,13678.285714285714,0.007770397292893847,2.142857142857143,106.28571428571428,0.5714285714285714,3.910397712342453,0.007920792079207921,0.08819981410801511,0.002071463862501739,0.009591222726014037,469717,0.13174730374152666,3565287
2020-08-24,Utah,49364,390,5.0,249.0,1518.0,-12.0,3508.4285714285716,0.10057412761105908,-1.7142857142857142,352.8571428571428,3.7142857142857135,7.574147876090242,0.009087731562390771,0.00878576255913494,0.0012771361252313697,0.001260561039868169,346278,0.10801072832324088,3205958
2020-08-24,Kentucky,43898,884,12.0,832.0,17733.0,-26.0,7235.428571428572,0.08308324119412415,0.14285714285714285,601.0,9.428571428571429,7.111866189049264,0.017618793379604914,0.025075168775174447,0.0026762638172657537,0.004025999295053752,277735,0.0621653214170456,4467673
2020-08-24,Kansas,38546,429,3.0,888.0,20642.0,-107.0,4670.714285714285,0.09891420706530052,-5.7142857142857135,561.7142857142857,3.2857142857142856,7.532100655662298,0.008360596146855689,0.013757496071577462,0.0010550332166007633,0.0018375436547407827,287176,0.09857333657055209,2913314
2020-08-24,Nebraska,32047,383,5.0,158.0,1239.0,7.0,2372.714285714286,0.09133602263832863,0.0,212.0,3.0,7.33549602372002,0.012068965517241381,0.013346807917479789,0.0017154230984221086,0.0017442536288518275,245185,0.12674915498351094,1934408
2020-08-24,Puerto Rico,30618,390,0.0,722.0,722.0,-7.0,551.1428571428571,1.0,-5.285714285714286,551.1428571428571,7.857142857142858,18.5,0.013647642679900743,0.017089522807940054,0.0007377104151297702,0.001514924175159273,407464,0.1275836244156356,3193694
2020-08-24,Idaho,30057,314,7.0,212.0,1305.0,0.0,2014.0,0.15555397928784226,-2.0,302.85714285714283,5.857142857142858,8.81045312934718,0.011939429237041353,0.012507966857871256,0.001349466013671668,0.0015573386595350142,250853,0.14037107436728583,1787065
