date,Country_Region,Confirmed,Deaths,daily_deaths,daily_confirmed,daily_confirmed_7day_ma,daily_deaths_7day_ma,cur_implied_cfr_as_of_2020-09-07,total_implied_cfr_as_of_2020-09-07,population
2020-09-21,Australia,26942,854,3.0,30.0,29.0,5.428571428571429,0.06859205776173286,0.03238160239639025,25203198
2020-09-21,Denmark,23774,640,2.0,421.0,442.8571428571428,1.0,0.0061946902654867264,0.034519956850053934,5806081
2020-09-21,South Korea,23106,388,3.0,61.0,102.14285714285714,3.0,0.016799999999999995,0.018104614810321495,51225308
2020-09-21,Bulgaria,19014,765,4.0,151.0,136.14285714285714,5.142857142857143,0.04090909090909091,0.0446168202496209,7000039
2020-09-21,Hungary,18866,686,3.0,876.0,816.1428571428571,6.2857142857142865,0.015580736543909351,0.07653687381457101,9772756
2020-09-21,Greece,15595,344,6.0,453.0,310.7142857142857,4.857142857142857,0.02526002971768202,0.029494984137871903,10724599
2020-09-21,Croatia,14992,253,5.0,70.0,199.14285714285717,3.7142857142857135,0.014348785871964679,0.020941975002069364,4076246
2020-09-21,Norway,13005,267,0.0,108.0,104.14285714285714,0.2857142857142857,0.002706359945872801,0.02317507160836733,5378857
2020-09-21,Malaysia,10276,130,0.0,57.0,47.14285714285714,0.2857142857142857,0.01680672268907563,0.013743524685484723,31949777
2020-09-21,Finland,9046,341,2.0,66.0,59.85714285714285,0.5714285714285714,0.01659751037344398,0.04095112285336856,5517919
2020-09-21,Luxembourg,7916,124,0.0,198.0,96.0,0.0,0.0,0.017816091954022988,613894
2020-09-21,Slovakia,6756,39,0.0,79.0,168.0,0.14285714285714285,0.001390820584144645,0.008412424503882658,5450421
2020-09-21,Cuba,5141,116,1.0,50.0,59.28571428571429,1.1428571428571428,0.024999999999999998,0.02665441176470588,11333483
2020-09-21,Slovenia,4470,142,0.0,50.0,103.0,1.0,0.022801302931596098,0.0445141065830721,2080908
2020-09-21,Lithuania,3814,87,0.0,70.0,61.14285714285714,0.0,0.0,0.028064516129032258,2794184
2020-09-21,Estonia,2941,64,0.0,17.0,34.714285714285715,0.0,0.0,0.02527646129541864,1324820
2020-09-21,Malta,2776,23,3.0,45.0,53.0,1.0,0.036269430051813475,0.011078998073217727,493559
2020-09-21,Iceland,2377,10,0.0,70.0,29.857142857142854,0.0,0.0,0.004666355576294913,339031
2020-09-21,Cyprus,1603,22,0.0,3.0,9.857142857142858,0.0,0.0,0.01456953642384106,875899
2020-09-21,Latvia,1526,36,0.0,1.0,7.0,0.14285714285714285,0.0303030303030303,0.025192442267319804,1919968
